,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME
19,3982,ALLIS CHALMERS ENERGY INC.,200603,2006-03-22,10-K,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-002926.txt
20,3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-01,10-K/A,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-004690.txt
21,3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-10,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-005244.txt
22,3982,ALLIS CHALMERS ENERGY INC.,200607,2006-07-24,10-K/A,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-007243.txt
23,3982,ALLIS CHALMERS ENERGY INC.,200607,2006-07-24,10-Q/A,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-007244.txt
24,3982,ALLIS CHALMERS ENERGY INC.,200608,2006-08-14,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-007871.txt
25,3982,ALLIS CHALMERS ENERGY INC.,200611,2006-11-08,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-009522.txt
26,3982,ALLIS CHALMERS ENERGY INC.,200612,2006-12-29,10-Q/A,https://www.sec.gov/Archives/edgar/data/3982/0000950134-06-023819.txt
27,3982,ALLIS CHALMERS ENERGY INC.,200703,2007-03-15,10-K,https://www.sec.gov/Archives/edgar/data/3982/0000950129-07-001381.txt
28,3982,ALLIS CHALMERS ENERGY INC.,200705,2007-05-10,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-07-002432.txt
29,3982,ALLIS CHALMERS ENERGY INC.,200708,2007-08-09,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-07-003918.txt
30,3982,ALLIS CHALMERS ENERGY INC.,200711,2007-11-06,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-07-005361.txt
31,3982,ALLIS CHALMERS ENERGY INC.,200803,2008-03-07,10-K,https://www.sec.gov/Archives/edgar/data/3982/0000950129-08-001569.txt
32,3982,ALLIS CHALMERS ENERGY INC.,200804,2008-04-29,10-K/A,https://www.sec.gov/Archives/edgar/data/3982/0000950129-08-002507.txt
33,4447,AMERADA HESS CORP,200311,2003-11-12,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-03-012528.txt
34,4447,AMERADA HESS CORP,200403,2004-03-12,10-K,https://www.sec.gov/Archives/edgar/data/4447/0000950123-04-003250.txt
35,4447,AMERADA HESS CORP,200403,2004-03-15,10-K/A,https://www.sec.gov/Archives/edgar/data/4447/0000950123-04-003322.txt
36,4447,AMERADA HESS CORP,200405,2004-05-07,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-04-005950.txt
37,4447,AMERADA HESS CORP,200408,2004-08-06,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-04-009350.txt
38,4447,AMERADA HESS CORP,200411,2004-11-05,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-04-013054.txt
39,4447,AMERADA HESS CORP,200503,2005-03-14,10-K,https://www.sec.gov/Archives/edgar/data/4447/0000950123-05-003078.txt
40,4447,AMERADA HESS CORP,200505,2005-05-06,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-05-005767.txt
41,4447,AMERADA HESS CORP,200508,2005-08-05,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-05-009475.txt
42,4447,AMERADA HESS CORP,200511,2005-11-07,10-Q,https://www.sec.gov/Archives/edgar/data/4447/0000950123-05-013153.txt
43,4457,AMERCO /NV/,199911,1999-11-08,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-99-000043.txt
44,4457,AMERCO /NV/,200002,2000-02-10,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000018.txt
45,4457,AMERCO /NV/,200006,2000-06-29,10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000067.txt
46,4457,AMERCO /NV/,200008,2000-08-11,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000080.txt
47,4457,AMERCO /NV/,200011,2000-11-13,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-00-000105.txt
48,4457,AMERCO /NV/,200102,2001-02-14,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500024.txt
49,4457,AMERCO /NV/,200107,2001-07-02,10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500063.txt
50,4457,AMERCO /NV/,200107,2001-07-02,NT 10-K,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500060.txt
51,4457,AMERCO /NV/,200108,2001-08-10,10-Q,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500081.txt
52,4457,AMERCO /NV/,200108,2001-08-10,10-Q/A,https://www.sec.gov/Archives/edgar/data/4457/0000004457-01-500083.txt
53,4515,AMERICAN AIRLINES INC,200810,2008-10-16,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-08-000073.txt
54,4515,AMERICAN AIRLINES INC,200902,2009-02-19,10-K,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000008.txt
55,4515,AMERICAN AIRLINES INC,200904,2009-04-16,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000018.txt
56,4515,AMERICAN AIRLINES INC,200907,2009-07-15,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000029.txt
57,4515,AMERICAN AIRLINES INC,200910,2009-10-21,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000039.txt
58,4515,AMERICAN AIRLINES INC,200911,2009-11-06,10-Q/A,https://www.sec.gov/Archives/edgar/data/4515/0000004515-09-000041.txt
59,4515,AMERICAN AIRLINES INC,201002,2010-02-17,10-K,https://www.sec.gov/Archives/edgar/data/4515/0000004515-10-000006.txt
60,4515,AMERICAN AIRLINES INC,201004,2010-04-21,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000004515-10-000016.txt
61,4515,AMERICAN AIRLINES INC,201007,2010-07-21,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000950123-10-066865.txt
62,4515,AMERICAN AIRLINES INC,201010,2010-10-20,10-Q,https://www.sec.gov/Archives/edgar/data/4515/0000950123-10-094615.txt
63,4962,AMERICAN EXPRESS CO,201404,2014-04-29,10-Q,https://www.sec.gov/Archives/edgar/data/4962/0001193125-14-167067.txt
64,4962,AMERICAN EXPRESS CO,201407,2014-07-30,10-Q,https://www.sec.gov/Archives/edgar/data/4962/0001193125-14-286961.txt
65,5588,AMERICAN PAD & PAPER CO,199611,1996-11-06,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000930661-96-001510.txt
66,5588,AMERICAN PAD & PAPER CO,199703,1997-03-31,10-K,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-002428.txt
67,5588,AMERICAN PAD & PAPER CO,199705,1997-05-15,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-003934.txt
68,5588,AMERICAN PAD & PAPER CO,199708,1997-08-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-006223.txt
69,5588,AMERICAN PAD & PAPER CO,199711,1997-11-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-97-008577.txt
70,5588,AMERICAN PAD & PAPER CO,199803,1998-03-27,10-K,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-002477.txt
71,5588,AMERICAN PAD & PAPER CO,199805,1998-05-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-004241.txt
72,5588,AMERICAN PAD & PAPER CO,199808,1998-08-14,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000950134-98-006988.txt
73,5588,AMERICAN PAD & PAPER CO,199811,1998-11-13,10-Q,https://www.sec.gov/Archives/edgar/data/5588/0000005588-98-000008.txt
74,5588,AMERICAN PAD & PAPER CO,199811,1998-11-16,10-Q/A,https://www.sec.gov/Archives/edgar/data/5588/0000005588-98-000010.txt
75,5907,AT&T CORP,199908,1999-08-13,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-99-000027.txt
76,5907,AT&T CORP,199911,1999-11-15,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-99-000037.txt
77,5907,AT&T CORP,200003,2000-03-27,10-K,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000014.txt
78,5907,AT&T CORP,200005,2000-05-15,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000025.txt
79,5907,AT&T CORP,200008,2000-08-14,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000031.txt
80,5907,AT&T CORP,200011,2000-11-14,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000005907-00-000038.txt
81,5907,AT&T CORP,200101,2001-01-26,10-K/A,https://www.sec.gov/Archives/edgar/data/5907/0000005907-01-000002.txt
82,5907,AT&T CORP,200104,2001-04-02,10-K405,https://www.sec.gov/Archives/edgar/data/5907/0000005907-01-000012.txt
83,5907,AT&T CORP,200104,2001-04-17,10-K405/A,https://www.sec.gov/Archives/edgar/data/5907/0000005907-01-000015.txt
84,5907,AT&T CORP,200105,2001-05-15,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-502538.txt
85,5907,AT&T CORP,200107,2001-07-03,10-Q/A,https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-504075.txt
86,5907,AT&T CORP,200108,2001-08-10,10-Q/A,https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-505366.txt
87,5907,AT&T CORP,200108,2001-08-14,10-Q,https://www.sec.gov/Archives/edgar/data/5907/0000950123-01-505598.txt
88,6071,AMES DEPARTMENT STORES INC,199809,1998-09-02,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-98-000023.txt
89,6071,AMES DEPARTMENT STORES INC,199812,1998-12-10,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-98-000026.txt
90,6071,AMES DEPARTMENT STORES INC,199904,1999-04-05,10-K,https://www.sec.gov/Archives/edgar/data/6071/0000889812-99-001116.txt
91,6071,AMES DEPARTMENT STORES INC,199906,1999-06-15,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-99-000013.txt
92,6071,AMES DEPARTMENT STORES INC,199909,1999-09-14,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-99-000015.txt
93,6071,AMES DEPARTMENT STORES INC,199912,1999-12-14,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-99-000017.txt
94,6071,AMES DEPARTMENT STORES INC,200004,2000-04-11,10-K,https://www.sec.gov/Archives/edgar/data/6071/0000006071-00-000002.txt
95,6071,AMES DEPARTMENT STORES INC,200006,2000-06-13,10-Q,https://www.sec.gov/Archives/edgar/data/6071/0000006071-00-000011.txt
96,6201,AMR CORP,199908,1999-08-16,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-99-000023.txt
97,6201,AMR CORP,199911,1999-11-05,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-99-000028.txt
98,6201,AMR CORP,200003,2000-03-27,10-K405,https://www.sec.gov/Archives/edgar/data/6201/0000950134-00-002454.txt
99,6201,AMR CORP,200005,2000-05-11,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-00-000009.txt
100,6201,AMR CORP,200007,2000-07-28,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000950134-00-006067.txt
101,6201,AMR CORP,200010,2000-10-26,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-00-000017.txt
102,6201,AMR CORP,200103,2001-03-22,10-K405,https://www.sec.gov/Archives/edgar/data/6201/0000950134-01-002483.txt
103,6201,AMR CORP,200104,2001-04-24,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000950134-01-500665.txt
104,6201,AMR CORP,200108,2001-08-13,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-01-500032.txt
105,6201,AMR CORP,200110,2001-10-25,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-01-500047.txt
106,6201,AMR CORP,200202,2002-02-28,10-K405,https://www.sec.gov/Archives/edgar/data/6201/0000950134-02-001661.txt
107,6201,AMR CORP,200204,2002-04-18,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-02-000015.txt
108,6201,AMR CORP,200207,2002-07-19,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-02-000035.txt
109,6201,AMR CORP,200210,2002-10-18,10-Q,https://www.sec.gov/Archives/edgar/data/6201/0000006201-02-000052.txt
110,6201,AMR CORP,200210,2002-10-18,10-Q/A,https://www.sec.gov/Archives/edgar/data/6201/0000950134-02-012680.txt
111,6201,AMR CORP,200210,2002-10-18,10-Q/A,https://www.sec.gov/Archives/edgar/data/6201/0000950134-02-012682.txt
112,6201,AMR CORP,200304,2003-04-01,NT 10-K,https://www.sec.gov/Archives/edgar/data/6201/0000006201-03-000012.txt
113,6201,AMR CORP,200304,2003-04-15,10-K,https://www.sec.gov/Archives/edgar/data/6201/0001047469-03-013301.txt
